"524145442725-elipo-ocr-bucket-aligram","Alghanim","alghanim",,
"abc-technology","Abc Technology","abc_technology","https://7firau5x7b.execute-api.eu-central-1.amazonaws.com/abc-technology/paper-entry","fifth"
"old-dev","Old Dev Environment","einvoice_db_portal","https://7firau5x7b.execute-api.eu-central-1.amazonaws.com/einvoice-v1/paper-entry","fifth"
"peol-technology","Peol Technology","peol_technology","https://7firau5x7b.execute-api.eu-central-1.amazonaws.com/peol-technology/paper-entry","fifth"
