2000000063,"AMWIN SYSTEMS PVT. LTD.",,"registered_business","29AAHCP5201G1QQ","Karnataka","INR","15",0,"gst","","",""
2000000064,"ACE Consultancy Enterprise",,"registered_business","27AAPFA1146E1ZO","Maharashtra","INR","15",0,"igst","","",""
2000000065,"Larsen & Toubro Infotech Limited",,"registered_business","27AAACL1681P1Z3","Maharashtra","INR","30",0,"gst","","",""
2000000066,"ESC",,"registered_business","07AAATE0022CIZN","Delhi","INR","15",0,"gst","","",""
2000000067,"SAP India Private Limited",,"registered_business","29AACCS7483E1Z1","Karnataka","INR","30",0,"gst","","",""
2000000068,"Alwyn DSouza & Co",,"registered_business","27AEDPD0017R1ZL","Maharashtra","INR","30",0,"gst","","",""
2000000069,"Accel Frontline Global Services",,"registered_business","33AAACA5622M1ZU","Chennai","INR","30",0,"gst","","",""
2000000070,"Bharti Airtel Ltd",,"registered_business","29AAACB2894G1ZJ","Karnataka","INR","30",0,"gst","","",""
2000000084,"test1343",,"registered_business","26AAAAA0000P1ZV","Dadra and Nagar Haveli","INR","None",0,"igst","","",""
2000000085,"SAP LABS",,"registered_business","29AAFCS3649P1ZJ","Karnataka","EUR","15",0,"gst","CS3649P","",""
2000000092,"Go Plus",,"registered_business","27AAQFG4563J1ZV","Maharashtra","INR","15",0,"igst","","",""
2000000100,"Mercury",,"overseas","","","EUR","15",0,"","","",""
2000000101,"Comfone",,"overseas","","","EUR","15",0,"","","",""
2000000103,"BAGMANE",,"registered_business","29AACCB1178M1ZD","Karnataka","INR","15",0,"gst","","",""
2000000104,"Broadgate Estates",,"overseas","","london","EUR","15",0,"","","",""
2000000105,"Vested",,"overseas","","NewYork","EUR","15",0,"","","",""
2000000106,"GTT",,"overseas","","","EUR","15",0,"","","",""
2000000113,"SCORG International Consulting Pvt. Ltd.",,"Special-Economic-Zone","27AANCS2926F1Z6","Maharashtra","INR","15",10,"igst","","",""
2000000126,"ACC Ltd",,"registered_business","29AAACT1507C1ZT","","EUR","15",0,"","","",""
2000000127,"ACD Ltd",,"unregistered_business","","","AED","15",0,"","","",""
2000000130,"RPFM Technology Limited",,"registered_business","24AAIFR5079A1ZC","Gujarat","INR","None",0,"igst","","",""
2000000131,"Colorcon Asia Pvt. Ltd.",,"registered_business","27AAACC2281Q1ZC","Maharashtra","INR","None",0,"igst","","",""
2000000132,"Bilcare Limited",,"registered_business","27AABCB2242F1Z6","Maharashtra","INR","None",0,"igst","","",""
2000000136,"Exertis Arc Telecom Ltd.",,"overseas","","Ireland","USD","60",0,"","","",""
2000000141,"United Bahita Est.",,"overseas","","Kuwait","KWD","None",0,"","","",""
2000000142,"Midea Electric Trading",,"overseas","","Kuwait","USD","90",0,"","","",""
2000000144,"Google Ireland Limited",,"overseas","","Ireland","USD","15",0,"","","",""
2000000147,"TechPass",,"overseas","","","KWD","15",0,"igst","","",""
